source,outcome_pair,reference,primary,predictor,coverage_k,gallery_K,outcome_mean,uniform_order_expectation
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,T,13,17,0.6842548076923076,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,T,14,17,0.6683928571428571,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,T,15,17,0.6592708333333334,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,T,16,17,0.645625,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,T,17,17,0.6385661764705882,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,G,1,17,0.9996875,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,G,2,17,0.974375,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,G,3,17,0.953125,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,G,4,17,0.951953125,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,G,5,17,0.9418124999999999,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,G,6,17,0.9235416666666666,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,G,7,17,0.8475446428571428,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,G,8,17,0.8001171875,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,G,9,17,0.7609722222222222,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,G,10,17,0.7310937499999999,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,G,11,17,0.7125852272727271,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,G,12,17,0.6962239583333334,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,G,13,17,0.6859615384615385,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,G,14,17,0.6745089285714286,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,G,15,17,0.658875,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,G,16,17,0.6480859375,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,G,17,17,0.6385661764705882,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,T,1,17,0.9996875,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,T,2,17,0.974375,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,T,3,17,0.9500000000000001,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,T,4,17,0.9496093750000001,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,T,5,17,0.9261250000000001,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,T,6,17,0.9235416666666666,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,T,7,17,0.8475446428571428,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,T,8,17,0.8061328125000001,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,T,9,17,0.7751736111111112,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,T,10,17,0.74446875,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,T,11,17,0.7279545454545455,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,T,12,17,0.7039583333333334,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,T,13,17,0.6842548076923076,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,T,14,17,0.6733482142857142,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,T,15,17,0.6592708333333334,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,T,16,17,0.645625,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,T,17,17,0.6385661764705882,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,G,1,17,0.9996875,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,G,2,17,0.974375,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,G,3,17,0.9657291666666667,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,G,4,17,0.951953125,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,G,5,17,0.9418124999999999,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,G,6,17,0.9235416666666666,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,G,7,17,0.8475446428571428,0.6385661764705881
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,G,8,17,0.8001171875,0.6385661764705881
